year,province_code,province,total_visits,child_visits,reporting_food_banks,comparable_to_2019,source_page,child_share_pct,visits_per_reporting_food_bank,yoy_visits_pct,visits_2019,change_since_2019_pct,food_insecurity_pct
2019,AB,Alberta,89821.0,35282.0,171.0,True,11.0,39.28034646686187,525.2690058479532,,89821.0,0.0,19.2
2019,BC,British Columbia,124713.0,38074.0,113.0,True,11.0,30.529295261921373,1103.654867256637,,124713.0,0.0,16.2
2019,MB,Manitoba,82067.0,33280.0,52.0,False,11.0,40.552231713112455,1578.2115384615386,,82067.0,,19.1
2019,NB,New Brunswick,22625.0,7123.0,58.0,True,11.0,31.482872928176796,390.08620689655174,,22625.0,0.0,17.8
2019,NL,Newfoundland and Labrador,10704.0,3149.0,45.0,True,11.0,29.418908819133033,237.86666666666667,,10704.0,0.0,18.9
2019,NS,Nova Scotia,25629.0,7463.0,123.0,True,11.0,29.11935697842288,208.3658536585366,,25629.0,0.0,20.9
2019,ON,Ontario,339613.0,111051.0,577.0,True,11.0,32.6992782961783,588.5840554592721,,339613.0,0.0,17.0
2019,PE,Prince Edward Island,2959.0,1137.0,6.0,True,11.0,38.4251436296046,493.1666666666667,,2959.0,0.0,17.3
2019,QC,Quebec,345184.0,120025.0,1150.0,True,11.0,34.77131037359785,300.16,,345184.0,0.0,14.4
2019,SK,Saskatchewan,37216.0,15778.0,36.0,True,11.0,42.395743766122095,1033.7777777777778,,37216.0,0.0,17.2
2020,AB,Alberta,,,,,,,,,,,18.5
2020,BC,British Columbia,,,,,,,,,,,16.2
2020,MB,Manitoba,,,,,,,,,,,18.2
2020,NB,New Brunswick,,,,,,,,,,,15.7
2020,NL,Newfoundland and Labrador,,,,,,,,,,,17.7
2020,NS,Nova Scotia,,,,,,,,,,,18.0
2020,ON,Ontario,,,,,,,,,,,17.3
2020,PE,Prince Edward Island,,,,,,,,,,,18.6
2020,QC,Quebec,,,,,,,,,,,10.9
2020,SK,Saskatchewan,,,,,,,,,,,17.7
2021,AB,Alberta,,,,,,,,,,,19.7
2021,BC,British Columbia,,,,,,,,,,,14.6
2021,MB,Manitoba,,,,,,,,,,,17.1
2021,NB,New Brunswick,,,,,,,,,,,18.4
2021,NL,Newfoundland and Labrador,,,,,,,,,,,17.5
2021,NS,Nova Scotia,,,,,,,,,,,17.7
