province_code,province,visits_2019,visits_2025,comparable_to_2019,absolute_change,percent_change,absolute_rank,percent_rank
ON,Ontario,339613.0,763756.0,True,424143.0,124.89009549104422,1.0,2.0
QC,Quebec,345184.0,746411.0,True,401227.0,116.23568879206452,2.0,3.0
AB,Alberta,89821.0,210541.0,True,120720.0,134.40064127542556,3.0,1.0
BC,British Columbia,124713.0,223340.0,True,98627.0,79.08317496973049,4.0,5.0
SK,Saskatchewan,37216.0,55310.0,True,18094.0,48.618873602751506,5.0,7.0
NS,Nova Scotia,25629.0,43421.0,True,17792.0,69.42135861719146,6.0,6.0
NB,New Brunswick,22625.0,32343.0,True,9718.0,42.9524861878453,7.0,9.0
NL,Newfoundland and Labrador,10704.0,15422.0,True,4718.0,44.07698056801196,8.0,8.0
PE,Prince Edward Island,2959.0,5350.0,True,2391.0,80.80432578573843,9.0,4.0
MB,Manitoba,82067.0,64975.0,False,-17092.0,,,
